"Can you explain the code ""def hello_world\\nputs(\""Hello, world!\\n\"");\nend""?",ExplainCode
"Can you explain function ""def hello_world\\nputs(\""Hello, world!\\n\"");\nend""?",ExplainCode
"Write me tests for function ""def hello_world\\nputs(\""Hello, world!\\n\"");\nend""",ExplainCode
"What is the complexity of the code ""def hello_world\\nputs(\""Hello, world!\\n\"");\nend""?",ExplainCode
"How would the ""def hello_world\\nputs(\""Hello, world!\\n\"");\nend"" code look like in Python?",ExplainCode
"How would you refactor the ""def hello_world\\nputs(\""Hello, world!\\n\"");\nend"" code?",ExplainCode
"Can you fix the bug in my ""def hello_world\\nput(\""Hello, world!\\n\"");\nend"" code?",ExplainCode
"Create an example of how to use method ""def hello_world\\nput(\""Hello, world!\\n\"");\nend""",ExplainCode
"Write documentation for the ""def hello_world\\nput(\""Hello, world!\\n\"");\nend"" code",ExplainCode
Create a function to validate an e-mail address,ExplainCode
Create a tic tac toe game in Javascript,ExplainCode
Create a function in Python to call the spotify API to get my playlists,ExplainCode

Please summarize the %<issue_identifier>s issue,"IssueIdentifier, SummarizeComments"
Summarize the %<issue_identifier>s issue with bullet points,"IssueIdentifier, SummarizeComments"
Can you list all the labels on %<issue_identifier>s issue?,"IssueIdentifier, Resource Reader"
How old is the %<issue_identifier>s issue?,"IssueIdentifier, Resource Reader"
For which milestone is the %<issue_identifier>s issue? And how long until then,"IssueIdentifier, Resource Reader"
Summarize the comments into bullet points on %<issue_identifier>s issue,"IssueIdentifier, SummarizeComments"

How do I change my password in GitLab?,GitlabDocumentation
How do I fork a project?,GitlabDocumentation
How do I clone a repository?,GitlabDocumentation
How do I create a template?,GitlabDocumentation
